"","iliad.txt","odyssey.txt"
"--_amphitryon's",1,0
"--_and",4,0
"--_another",1,0
"--_antenor,_",1,0
"--_argos._",1,0
"--_arisbe,_",1,0
"--_as",2,0
"--_astyanax,_",1,0
"--_athenian",1,0
"--_atoned,_",1,0
"--_barbarous",1,0
"--_beneath",1,0
"--_bent",1,0
"--_brother",1,0
"--_casque._",1,0
"--_celadon,_",1,0
"--_ciconians._--a",1,0
"--_cilla,_",1,0
"--_convened",1,0
"--_cranae's",1,0
"--_crown'd,",1,0
"--_dream_",1,0
"--_each",1,0
"--_embattled",1,0
"--_far",2,0
"--_for,",1,0
"--_forwarn'd",1,0
"--_from",1,0
"--_full",1,0
"--_gerenian",1,0
"--_god",1,0
"--_grimly",1,0
"--_he",3,0
"--_her",1,0
"--_hesper",1,0
"--_his",3,0
"--_i.e._",2,0
"--_idomeneus,_",1,0
"--_ignominious._",1,0
"--_in",3,0
"--_king",1,0
"--_laodice._",1,0
"--_latona's",1,0
"--_like",1,0
"--_macbeth._",1,0
"--_no",1,0
"--_nor",1,0
"--_not",1,0
"--_o",1,0
"--_oh",1,0
"--_oileus,",1,0
"--_on",2,0
"--_one",1,0
"--_orchomenian",1,0
"--_paeon_",1,0
"--_paris'",1,0
"--_pedasus,_",1,0
"--_pherae,_",1,0
"--_podaleirius_",1,0
"--_pray",1,0
"--_pthia,_",1,0
"--_purest",1,0
"--_red",1,0
"--_renown'd",1,0
"--_rich",1,0
"--_scaea's",1,0
"--_scaean,",1,0
"--_scamander,_",1,0
"--_sevenfold",1,0
"--_simois,",1,0
"--_smintheus_",1,0
"--_so",1,0
"--_soft",1,0
"--_solymaean",1,0
"--_some",1,0
"--_spontaneous",1,0
"--_sthenelus,_",1,0
"--_such",1,0
"--_the",8,0
"--_they",1,0
"--_thrice",2,0
"--_tlepolemus,_",1,0
"--_to",1,0
"--_twice",1,0
"--_tydeus'",1,0
"--_ungrateful,_",1,0
"--_well",1,0
"--_what",1,0
"--_where",1,0
"--_who",1,0
"--_why",1,0
"--_with",1,0
"--_zeleia,_",1,0
"--_zelia,_",1,0
"--carey's",2,0
"--chapman.",1,0
"--cowper.",1,0
"--dryden's",3,0
"--dyce's",2,0
"--gier.",2,0
"--paradise",1,0
"--so",1,0
"...",1,0
"1);",1,0
"1.a.",1,1
"1.b.",1,1
"1.c",1,1
"1.c.",1,1
"1.d.",1,1
"1.e",1,1
"1.e.",1,1
"1.e.1",3,3
"1.e.1.",2,2
"1.e.2.",1,1
"1.e.3.",1,1
"1.e.4.",1,1
"1.e.5.",1,1
"1.e.6.",1,1
"1.e.7",2,2
"1.e.7.",1,1
"1.e.8",2,2
"1.e.8.",2,2
"1.e.9.",3,3
"1.f.",1,1
"1.f.1.",1,1
"1.f.2.",1,1
"1.f.3,",3,3
"1.f.3.",1,2
"1.f.4.",1,1
"1.f.5.",1,1
"1.f.6.",1,1
"10),",1,0
"10.",1,0
"100",1,1
"100,",1,0
"100,000",1,0
"100.",1,0
"1004.",1,0
"101",1,0
"101.",1,1
"102",1,0
"103",1,1
"103,",1,0
"104",1,0
"104,",1,0
"104.",1,0
"105",1,0
"105.",1,0
"1058.",1,0
"106",1,0
"106.",1,0
"107",1,0
"107,",2,0
"108",1,0
"109",1,0
"110",1,0
"1100.",1,0
"111",1,0
"112",1,0
"112.",1,0
"113",1,0
"113.",1,0
"114",1,0
"114,",1,0
"115",1,0
"116",1,0
"117",1,0
"118",1,0
"119",1,0
"120",1,1
"121",1,0
"121)",1,0
"122",1,0
"123",1,0
"123)",1,0
"124",1,0
"125",1,0
"126",1,0
"127",1,0
"127,",1,0
"128",1,0
"128.",1,0
"129",1,0
"130",1,0
"131",2,0
"132",1,0
"132,",1,0
"133",1,0
"134",1,0
"135",1,0
"135,000.",1,0
"136",1,0
"136,",1,0
"137",1,0
"138",1,0
"138).""--grote,",1,0
"139",1,0
"140",1,0
"141",1,0
"142",1,0
"142.",3,0
"143",1,0
"143,",1,1
"144",1,0
"145",1,1
"146",1,1
"147",1,0
"147.",1,0
"148",1,0
"148,",1,0
"149",1,0
"15)",1,0
"150",1,0
"150.",1,0
"1500",1,1
"151",1,0
"152",1,0
"153",1,1
"154",1,0
"154,",1,0
"155",1,0
"155,",1,0
"156",1,0
"156.",2,0
"157",1,0
"158",1,0
"159",1,0
"159.",1,0
"15:",1,0
"15;",1,0
"160",1,0
"161",1,0
"162",1,0
"162,",1,0
"162.",1,0
"163",1,0
"164",1,1
"165",1,0
"166",1,0
"166.",3,0
"167",1,0
"168",1,0
"168,",1,0
"169",1,0
"17.",1,0
"170",1,1
"171",1,0
"171,",2,0
"172",1,0
"1720",1,0
"1728.",1,0
"173",1,0
"174",1,0
"175",1,0
"176",2,0
"176,",1,0
"177",1,0
"177,",1,0
"178",1,0
"179",1,0
"18-24.",1,0
"180",1,0
"180,",1,0
"181",2,0
"181),",1,0
"181.",1,0
"182",1,0
"182,",1,0
"183",1,0
"184",1,0
"1841.",1,0
"185",1,0
"186",1,1
"187",1,1
"188",1,0
"189",1,0
"189)",1,0
"1899",1,0
"19.",1,0
"190",1,0
"191",1,0
"191)",1,0
"191,",1,0
"192",1,0
"192,",1,0
"193",1,0
"194",1,0
"195",1,0
"195,",1,1
"195.",1,0
"196",1,0
"197",1,0
"198",2,0
"198,",2,0
"199",1,0
"20%",1,1
"20,",1,1
"200",1,0
"2001,",1,1
"2004",1,0
"2006",2,0
"201",1,0
"201.",1,0
"202",1,0
"203",1,0
"204",1,0
"204.",1,0
"205",1,0
"206",1,0
"207",1,0
"208",1,0
"209",1,0
"20;",1,0
"21,",1,0
"210",1,0
"211",1,0
"211,",1,0
"212",1,0
"212.",2,0
"213",1,0
"213.",2,0
"214",2,0
"215",1,0
"216",1,0
"217",1,0
"217,",1,1
"218",1,0
"219",1,0
"22.",2,0
"22.)",1,0
"220",1,0
"221",1,0
"221.",2,0
"222",2,0
"223",1,0
"224",1,0
"225",1,0
"226",1,0
"227",1,0
"227,",1,0
"228",1,0
"229",1,0
"23.",1,0
"230",1,0
"231",1,0
"231.",1,0
"232",1,0
"233",1,0
"234",1,0
"235",2,0
"236",1,0
"236.",1,0
"237",1,0
"238",1,0
"239",1,0
"239,",1,0
"240",1,0
"240.",1,0
"241",1,0
"242",1,0
"243",1,0
"244",1,0
"245",1,0
"245,",1,0
"245.",1,0
"246",1,0
"246)",1,0
"247",1,0
"248",1,0
"248.",2,0
"249",1,0
"249.",1,0
"25,",1,1
"250",1,0
"250.",1,0
"251",1,0
"252",1,0
"252.",1,0
"253",1,0
"254",1,0
"255",1,0
"256",1,1
"257",1,0
"257.",2,0
"258",1,0
"259",1,0
"26,)",1,0
"26.",1,0
"260",1,0
"261",1,0
"261.",1,0
"262",1,0
"263",1,0
"263.",1,0
"264",1,0
"265",1,0
"266",1,0
"266,",1,0
"267",1,0
"268",1,0
"269",1,0
"27.",1,0
"270",1,0
"271",1,0
"272",1,0
"272,",1,0
"273",1,0
"274",1,0
"275",1,0
"275,",1,0
"276",1,0
"276.",1,0
"277",1,0
"278",1,0
"279",1,0
"28.",2,0
"280",1,0
"281",1,0
"282",1,0
"283",1,0
"284",1,0
"284,",1,0
"285",1,0
"286",1,0
"286.",1,0
"287",1,0
"288",1,0
"289",1,1
"289.",2,0
"290",1,0
"291",1,0
"292",1,0
"293",1,0
"293.",1,0
"294",1,0
"295",1,0
"296",1,0
"297",1,0
"298",1,0
"299",1,0
"299,",1,0
"300",2,0
"304.",1,0
"311.",1,0
"312,",1,0
"315,",1,0
"315.",1,0
"317.",1,0
"32,",1,0
"323.",1,0
"335,",1,0
"336;",1,0
"338.",1,0
"339.",1,0
"34,",1,0
"34.",1,0
"340.",1,0
"35.",1,0
"350:--",1,0
"351.",1,0
"358,",2,0
"360",1,0
"369.",1,0
"374,",1,0
"383,",1,0
"386,",1,0
"387.",1,0
"393,",1,0
"399.",1,0
"4),",1,0
"408.",1,0
"411.",1,0
"427.",1,0
"43).",1,0
"436.",1,0
"437,",1,0
"44.",1,0
"450.",1,0
"453;",1,0
"4557",1,1
"463",1,0
"463,",1,0
"478,",1,0
"479.",1,0
"480,",1,0
"486,",1,0
"487.",1,0
"490,",1,0
"493.",1,0
"496.",1,0
"4to.,",1,0
"501(c)(3)",2,1
"51.",1,0
"510.",1,0
"522",1,0
"527,",1,0
"528.",1,0
"531-5,",1,0
"555.",1,0
"556.",1,0
"559.",1,0
"58,",1,0
"58.",1,0
"596-1887,",1,0
"6-8.",1,0
"61,",1,0
"6130-0.txt",1,0
"6130-0.zip.",1,0
"62,",1,0
"623.",1,0
"630),",1,0
"639",1,0
"64,",1,0
"64-6221541.",1,1
"644.",1,0
"646:",1,0
"660",1,0
"669.",1,0
"67.",1,0
"670",1,0
"673.",1,0
"675.",1,0
"68,",1,0
"687,",1,0
"70.",1,0
"700.",1,0
"708.",1,0
"72.",1,0
"736.",1,0
"738",1,0
"742.",2,0
"75.",2,0
"761,",1,0
"767.",1,0
"768.",1,0
"769,",1,0
"776",1,0
"78.",1,0
"803.",1,0
"809",1,1
"809.",1,0
"825.",1,0
"831",1,0
"84116,",1,1
"845.",1,0
"85.",1,0
"851.",1,0
"88).--",1,0
"880;",1,0
"91,",2,0
"92,",1,0
"92.",1,0
"94.",1,0
"948.",1,0
"96.",2,0
"97.",1,0
"98,",1,0
"980,",1,0
"986.",1,0
"99,",1,0
"99.",1,0
"99712.,",1,1
"[ebook",1,1
"[illustration:",71,0
"_ad",1,0
"_all_",1,0
"_ancient",1,0
"_ant,_",1,0
"_anything_",1,0
"_callida",1,0
"_chest_",1,0
"_christ",1,0
"_city-king_",1,0
"_converzationes_(6)",1,0
"_crux_",1,0
"_de",1,0
"_decursio._",1,0
"_dramatis",1,0
"_editions_",1,0
"_employes_",1,0
"_four_",1,0
"_fraudful_",1,0
"_frigid_",1,0
"_gerenian_",1,0
"_gloomy",1,0
"_heroic_",1,0
"_homers,_",1,0
"_homers._""(7)",1,0
"_i.e.",1,0
"_i.e._",3,0
"_ibid._",1,0
"_ichor,_",1,0
"_iliad_",1,0
"_l.",5,0
"_machaon_",1,0
"_might_",1,0
"_mouse,_",1,0
"_my_",1,0
"_note._",1,0
"_oi",1,0
"_or_",1,0
"_per",1,0
"_please",1,0
"_quocunque",1,0
"_roofed_",1,0
"_s.",2,0
"_sanguis",1,0
"_scaean",1,0
"_see_",1,0
"_some_",1,0
"_standing_",1,0
"_unbid,_",1,0
"_use_",1,0
"_versions_",1,0
"_words_",1,0
"_xyland._",1,0
"abandon'd",3,0
"abandon'd)",1,0
"abandon'd,",2,0
"abandonment",1,0
"abandons",1,0
"abantes",2,0
"abantian",1,0
"abas",1,0
"abash'd,",2,0
"abate;",1,0
"abbas,",1,0
"abhorr'd",4,0
"abhorr'd,",1,0
"abhors",2,0
"abide",1,2
"abion",1,0
"abion,",1,0
"abject",1,0
"abjures",1,0
"able",7,35
"ablerus",1,0
"ablest",1,0
"ablest,",1,0
"ablutions",1,0
"abode",2,6
"abode,",7,2
"abode,(162)",1,0
"abode.""",1,0
"abodes",6,0
"abodes,",16,0
"abodes.",2,0
"abodes.""",1,0
"abodes:",1,0
"abodes;",1,0
"abounding,",1,0
"about",39,383
"above",57,26
"above!",5,0
"above,",43,0
"above.",5,0
"above:",2,0
